('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         994897 function calls (970974 primitive calls) in 2.566 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      341    0.001    0.000    0.004    0.000 css_parser.py:1108(selector_iter)
      334    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      332    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
      332    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      332    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      332    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      332    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      331    0.002    0.000    0.113    0.000 __init__.py:330(_compile)
  329/328    0.002    0.000    0.006    0.000 frame_buffer.py:119(__next__)
      328    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      328    0.000    0.000    0.000    0.000 config.py:50(trace)
      328    0.000    0.000    0.000    0.000 enum.py:1154(__new__)
      327    0.000    0.000    0.000    0.000 flags.py:24(__init__)
      327    0.001    0.000    0.001    0.000 frame.py:57(__init__)
      326    0.000    0.000    0.000    0.000 {method 'unpack' of '_struct.Struct' objects}
      326    0.000    0.000    0.000    0.000 sync.py:130(write)
      326    0.000    0.000    0.000    0.000 connection.py:1392(data_to_send)
      326    0.001    0.000    0.003    0.000 http2.py:461(_write_outgoing_data)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      323    0.000    0.000    0.113    0.000 __init__.py:287(compile)
      323    0.001    0.000    0.002    0.000 typing.py:260(_collect_type_parameters)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      321    0.000    0.000    0.000    0.000 frame.py:147(parse_flags)
