('Total Revenue', '416,161,000', '416,161,000', '391,035,000', '383,285,000', '394,328,000')
         943565 function calls (919115 primitive calls) in 7.878 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27370    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 css_match.py:1(<module>)
    25769    0.004    0.000    0.004    0.000 _parser.py:239(__next)
      958    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      222    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
    23275    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
      968    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    13333    0.003    0.000    0.004    0.000 _parser.py:255(match)
       79    0.000    0.000    0.004    0.000 css_parser.py:472(parse_attribute_selector)
      341    0.001    0.000    0.004    0.000 css_parser.py:1108(selector_iter)
     2781    0.002    0.000    0.004    0.000 __init__.py:91(_replace_charref)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:1(<module>)
    12823    0.002    0.000    0.004    0.000 _parser.py:163(__len__)
      584    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
    12131    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
        2    0.000    0.000    0.003    0.002 request.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sessions.py:457(prepare_request)
     4163    0.003    0.000    0.003    0.000 __init__.py:789(popTag)
     2544    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      262    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      697    0.001    0.000    0.003    0.000 filter.py:618(_attribute_match)
      128    0.002    0.000    0.003    0.000 _compiler.py:470(_get_charset_prefix)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
    22950    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     3859    0.002    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
       16    0.001    0.000    0.003    0.000 enum.py:1751(convert_class)
        2    0.000    0.000    0.003    0.002 abc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 sessions.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _typing.py:1(<module>)
      196    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       10    0.000    0.000    0.003    0.000 enum.py:896(_convert_)
     2370    0.002    0.000    0.003    0.000 __init__.py:909(_linkage_fixer)
     7522    0.002    0.000    0.003    0.000 _parser.py:175(append)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
        6    0.000    0.000    0.003    0.000 cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.003    0.003 _htmlparser.py:361(prepare_markup)
        1    0.000    0.000    0.003    0.003 dammit.py:775(__init__)
    82/58    0.000    0.000    0.003    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.003    0.003 adapters.py:1(<module>)
       94    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
        2    0.000    0.000    0.003    0.001 client.py:231(_parse_header_lines)
        1    0.000    0.000    0.003    0.003 dammit.py:930(_convert_from)
        6    0.000    0.000    0.003    0.000 cookiejar.py:1680(extract_cookies)
        1    0.002    0.002    0.002    0.002 dammit.py:969(_to_unicode)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        2    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:395(freeze)
        1    0.000    0.000    0.002    0.002 retry.py:1(<module>)
       58    0.000    0.000    0.002    0.000 typing.py:753(Union)
        1    0.000    0.000    0.002    0.002 _local.py:1(<module>)
      336    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
        2    0.000    0.000    0.002    0.001 parser.py:41(parse)
      128    0.000    0.000    0.002    0.000 typing.py:1423(__init__)
      297    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
    17399    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 css_types.py:1(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
        2    0.000    0.000    0.002    0.001 adapters.py:336(build_response)
        6    0.000    0.000    0.002    0.000 typing.py:2998(__new__)
       17    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
     3208    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
        7    0.000    0.000    0.002    0.000 typing.py:2979(_make_nmtuple)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 response.py:1061(read)
7817/7749    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.002    0.001 utils.py:207(get_netrc_auth)
      158    0.000    0.000    0.002    0.000 _markupbase.py:165(parse_comment)
     2585    0.001    0.000    0.002    0.000 css_parser.py:317(match)
        2    0.000    0.000    0.002    0.001 response.py:1009(_raw_read)
        6    0.000    0.000    0.002    0.000 feedparser.py:173(feed)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
      360    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
     1340    0.001    0.000    0.002    0.000 filter.py:629(_match_attribute_value_helper)
        2    0.000    0.000    0.002    0.001 response.py:952(_fp_read)
        2    0.000    0.000    0.002    0.001 client.py:463(read)
     4163    0.001    0.000    0.002    0.000 element.py:2007(is_empty_element)
     4018    0.001    0.000    0.002    0.000 __init__.py:1068(handle_data)
     8202    0.002    0.000    0.002    0.000 element.py:3090(descendants)
        2    0.000    0.000    0.002    0.001 models.py:1(<module>)
      192    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       23    0.000    0.000    0.002    0.000 enum.py:498(__new__)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
     4360    0.001    0.000    0.002    0.000 _parser.py:292(tell)
      158    0.000    0.000    0.002    0.000 _htmlparser.py:269(handle_comment)
       24    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
      258    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
